WKT,name,description
POINT (143.8443462 -37.55795560000001),Australian Catholic University, Ballarat Campus
POINT (144.9780843 -37.8073105),Australian Catholic University, Melbourne Campus
POINT (144.9606243 -37.8130231),Charles Darwin University, Melbourne Campus
POINT (146.9871331 -36.0378511),Charles Sturt University, Albury-Wodonga
POINT (144.9543479 -37.81817950000001),CQUniversity Melbourne,
POINT (144.2989393 -38.1980218),Deakin University, Waurn Ponds Campus
POINT (144.3599533 -38.1438793),Deakin University, Geelong Waterfront Campus
POINT (145.1122556 -37.8445153),Deakin University, Melbourne Burwood Campus
POINT (142.5384536 -38.39087169999999),Deakin University, Warrnambool Campus
POINT (143.857426 -37.5654017),Federation University Australia, SMB Campus
POINT (143.8910952 -37.626441),Federation University Australia, Mt Helen Campus
POINT (143.858931 -37.5609507),Federation University Australia, Arts Academy
POINT (146.429409 -38.311211),Federation University Australia, Gippsland Campus
POINT (142.1851133 -36.71196339999999),Federation University Australia, Horsham Campus
POINT (146.8488051 -36.11140340000001),La Trobe University, Albury-Wodonga Campus
POINT (144.3012214 -36.7790388),La Trobe University, Bendigo Campus
POINT (145.0505385 -37.7218527),La Trobe University, Bundoora Campus
POINT (144.9622694 -37.8164092),La Trobe University, City Campus
POINT (142.1665775 -34.205484),La Trobe University, Mildura Campus
POINT (145.4063541 -36.3805003),La Trobe University, Shepparton Campus
POINT (145.0450003 -37.8773524),Monash University, Caulfield Campus
POINT (145.1317406 -37.9139385),Monash University, Clayton Campus
POINT (144.9587458 -37.7840053),Monash University, Parkville Campus
POINT (145.1360385 -38.1526486),Monash University, Peninsula Campus
POINT (144.9580867 -37.7720435),RMIT University, Brunswick Campus
POINT (145.0727763 -37.6768877),RMIT University, Bundoora Campus
POINT (144.9639386 -37.80833320000001),RMIT University, Melbourne City Campus
POINT (145.285759 -37.801686),Swinburne University of Technology, Croydon Campus
POINT (145.0389546 -37.8221504),Swinburne University of Technology, Hawthorn Campus
POINT (145.2336597 -37.8741595),Swinburne University of Technology, Wantirna
POINT (144.9683496 -37.8170206),Torrens University Australia, Flinders Street Campus
POINT (145.132555 -37.8263223),University of Divinity,
POINT (143.9006805 -37.41996),University of Melbourne, Creswick Campus
POINT (145.7055053 -36.382946),University of Melbourne, Dookie Campus
POINT (144.960974 -37.79834589999999),University of Melbourne, Parkville Campus
POINT (144.6933239 -37.8895125),University of Melbourne, Werribee Campus
POINT (145.0221405 -37.82823559999999),University of Melbourne, Burnley Campus
POINT (144.9701685 -37.8247391),University of Melbourne, Southbank Campus
POINT (145.4061609 -36.3621944),University of Melbourne, Shepparton Campus
POINT (144.8985171 -37.7937398),Victoria University, Footscray Park Campus
POINT (144.9640632 -37.8180133),Victoria University, City Flinders Campus
POINT (144.9639995 -37.8175435),Victoria University, City Flinders Lane Campus
POINT (144.9547963 -37.81490979999999),Victoria University, City King Campus
POINT (144.9599144 -37.8124718),Victoria University, City Queen Campus
POINT (144.8984888 -37.8045059),Victoria University, Footscray Nicholson Campus
POINT (144.7979192 -37.7522655),Victoria University, St Albans Campus
POINT (144.8352895 -37.7773774),Victoria University, Sunshine Campus
POINT (144.7023342 -37.8944969),Victoria University, Werribee Campus
