Year,Local Government Area,Suburb/Town Name,Offence Count
2012,Alpine,Abbeyard,3
2012,Alpine,Bright,96
2012,Alpine,Buckland,3
2012,Alpine,Buffalo River,1
2012,Alpine,Dandongadale,3
2012,Alpine,Dederang,4
2012,Alpine,Dinner Plain,6
2012,Alpine,Eurobin,5
2012,Alpine,Freeburgh,1
2012,Alpine,Gapsted,3
2012,Alpine,Glen Creek,1
2012,Alpine,Harrietville,2
2012,Alpine,Merriang,2
2012,Alpine,Mount Beauty,20
2012,Alpine,Mount Buffalo,2
2012,Alpine,Myrtleford,193
2012,Alpine,Nug Nug,3
2012,Alpine,Ovens,6
2012,Alpine,Porepunkah,15
2012,Alpine,Tawonga,18
2012,Alpine,Tawonga South,10
2012,Alpine,Upper Gundowring,1
2012,Alpine,Wandiligong,7
2012,Ararat,Ararat,1055
2012,Ararat,Armstrong,3
2012,Ararat,Bayindeen,1
2012,Ararat,Buangor,3
2012,Ararat,Cathcart,3
2012,Ararat,Denicull Creek,1
2012,Ararat,Dobie,6
2012,Ararat,Dunneworthy,1
2012,Ararat,Elmhurst,12
2012,Ararat,Great Western,1
2012,Ararat,Lake Bolac,30
2012,Ararat,Maroona,1
2012,Ararat,Middle Creek,1
2012,Ararat,Mount Cole,2
2012,Ararat,Moyston,17
2012,Ararat,Nerrin Nerrin,2
2012,Ararat,Norval,3
2012,Ararat,Pomonal,4
2012,Ararat,Rhymney,1
2012,Ararat,Rossbridge,1
2012,Ararat,Streatham,3
2012,Ararat,Tatyoon,4
2012,Ararat,Warrak,1
2012,Ararat,Westmere,2
2012,Ararat,Wickliffe,2
2012,Ararat,Willaura,16
2012,Ballarat,Addington,2
2012,Ballarat,Alfredton,322
2012,Ballarat,Ascot,4
2012,Ballarat,Bakery Hill,108
2012,Ballarat,Bald Hills,2
2012,Ballarat,Ballarat Central,2927
2012,Ballarat,Ballarat East,469
2012,Ballarat,Ballarat North,210
2012,Ballarat,Black Hill,164
2012,Ballarat,Blowhard,3
2012,Ballarat,Bo Peep,2
2012,Ballarat,Bonshaw,5
2012,Ballarat,Brown Hill,89
2012,Ballarat,Buninyong,125
2012,Ballarat,Bunkers Hill,12
2012,Ballarat,Burrumbeet,12
2012,Ballarat,Canadian,119
2012,Ballarat,Cardigan,12
2012,Ballarat,Cardigan Village,12
2012,Ballarat,Coghills Creek,4
2012,Ballarat,Creswick,5
2012,Ballarat,Delacombe,528
2012,Ballarat,Durham Lead,1
2012,Ballarat,Ercildoune,2
2012,Ballarat,Eureka,40
2012,Ballarat,Glen Park,1
2012,Ballarat,Glendaruel,1
2012,Ballarat,Golden Point,189
2012,Ballarat,Gong Gong,1
2012,Ballarat,Invermay,11
2012,Ballarat,Invermay Park,31
2012,Ballarat,Lake Gardens,39
2012,Ballarat,Lake Wendouree,211
2012,Ballarat,Learmonth,14
2012,Ballarat,Lucas,4
2012,Ballarat,Magpie,7
2012,Ballarat,Miners Rest,75
2012,Ballarat,Mitchell Park,44
2012,Ballarat,Mount Clear,167
2012,Ballarat,Mount Helen,49
2012,Ballarat,Mount Pleasant,159
2012,Ballarat,Mount Rowan,5
2012,Ballarat,Nerrina,56
2012,Ballarat,Newington,103
2012,Ballarat,Redan,351
2012,Ballarat,Scotsburn,3
2012,Ballarat,Sebastopol,1040
2012,Ballarat,Smythes Creek,4
2012,Ballarat,Soldiers Hill,278
2012,Ballarat,Tourello,2
2012,Ballarat,Warrenheip,54
2012,Ballarat,Waubra,2
2012,Ballarat,Wendouree,1460
2012,Ballarat,Windermere,3
2012,Banyule,Bellfield,103
2012,Banyule,Briar Hill,130
2012,Banyule,Bundoora,410
2012,Banyule,Eaglemont,120
2012,Banyule,Eltham,1
2012,Banyule,Eltham North,30
2012,Banyule,Greensborough,1153
2012,Banyule,Heidelberg,1275
2012,Banyule,Heidelberg Heights,464
2012,Banyule,Heidelberg West,1031
2012,Banyule,Ivanhoe,564
2012,Banyule,Ivanhoe East,111
2012,Banyule,Lower Plenty,134
2012,Banyule,Macleod,345
2012,Banyule,Montmorency,281
2012,Banyule,Rosanna,268
2012,Banyule,St Helena,60
2012,Banyule,Viewbank,128
2012,Banyule,Watsonia,425
2012,Banyule,Watsonia North,86
2012,Banyule,Yallambie,124
2012,Bass Coast,Adams Estate,1
2012,Bass Coast,Almurta,1
2012,Bass Coast,Anderson,5
2012,Bass Coast,Archies Creek,3
2012,Bass Coast,Bass,46
2012,Bass Coast,Cape Paterson,45
2012,Bass Coast,Cape Woolamai,115
2012,Bass Coast,Corinella,18
2012,Bass Coast,Coronet Bay,48
2012,Bass Coast,Cowes,338
2012,Bass Coast,Dalyston,21
2012,Bass Coast,Glen Alvie,2
2012,Bass Coast,Glen Forbes,13
2012,Bass Coast,Grantville,63
2012,Bass Coast,Harmers Haven,2
2012,Bass Coast,Inverloch,310
2012,Bass Coast,Jam Jerrup,2
2012,Bass Coast,Kernot,4
2012,Bass Coast,Kilcunda,25
2012,Bass Coast,Krowera,6
2012,Bass Coast,Lance Creek,4
2012,Bass Coast,Lang Lang,6
2012,Bass Coast,Loch,12
2012,Bass Coast,Newhaven,30
2012,Bass Coast,North Wonthaggi,138
2012,Bass Coast,Pioneer Bay,16
2012,Bass Coast,Pound Creek,2
2012,Bass Coast,Rhyll,13
2012,Bass Coast,Ryanston,4
2012,Bass Coast,San Remo,64
2012,Bass Coast,Silverleaves,5
2012,Bass Coast,Smiths Beach,26
2012,Bass Coast,South Dudley,34
2012,Bass Coast,St Clair,2
2012,Bass Coast,Summerlands,1
2012,Bass Coast,Sunderland Bay,11
2012,Bass Coast,Sunset Strip,7
2012,Bass Coast,Surf Beach,20
2012,Bass Coast,Tenby Point,4
2012,Bass Coast,The Gurdies,8
2012,Bass Coast,Ventnor,89
2012,Bass Coast,Wattle Bank,7
2012,Bass Coast,Wimbledon Heights,24
2012,Bass Coast,Wonthaggi,655
2012,Bass Coast,Woodleigh,2
2012,Bass Coast,Woolamai,4
2012,Baw Baw,Allambee,2
2012,Baw Baw,Allambee Reserve,2
2012,Baw Baw,Amor,1
2012,Baw Baw,Athlone,3
2012,Baw Baw,Baw Baw,3
2012,Baw Baw,Bona Vista,8
2012,Baw Baw,Brandy Creek,1
2012,Baw Baw,Buln Buln,20
2012,Baw Baw,Buln Buln East,4
2012,Baw Baw,Caringal,1
2012,Baw Baw,Childers,15
2012,Baw Baw,Cloverlea,1
2012,Baw Baw,Coalville,1
2012,Baw Baw,Crossover,10
2012,Baw Baw,Darnum,28
2012,Baw Baw,Drouin,708
2012,Baw Baw,Drouin East,25
2012,Baw Baw,Drouin South,21
2012,Baw Baw,Drouin West,13
2012,Baw Baw,Ellinbank,2
2012,Baw Baw,Erica,7
2012,Baw Baw,Fumina,2
2012,Baw Baw,Fumina South,1
2012,Baw Baw,Gainsborough,1
2012,Baw Baw,Hallora,1
2012,Baw Baw,Hill End,2
2012,Baw Baw,Icy Creek,3
2012,Baw Baw,Jacob Creek,6
2012,Baw Baw,Jindivick,10
2012,Baw Baw,Labertouche,7
2012,Baw Baw,Lardner,3
2012,Baw Baw,Longwarry,106
2012,Baw Baw,Longwarry North,9
2012,Baw Baw,Modella,1
2012,Baw Baw,Moondarra,8
2012,Baw Baw,Narracan,6
2012,Baw Baw,Nayook,4
2012,Baw Baw,Neerim,3
2012,Baw Baw,Neerim East,4
2012,Baw Baw,Neerim Junction,1
2012,Baw Baw,Neerim North,1
2012,Baw Baw,Neerim South,54
2012,Baw Baw,Nilma,13
2012,Baw Baw,Nilma North,33
2012,Baw Baw,Noojee,23
2012,Baw Baw,Piedmont,4
2012,Baw Baw,Rawson,20
2012,Baw Baw,Ripplebrook,10
2012,Baw Baw,Rokeby,3
2012,Baw Baw,Seaview,1
2012,Baw Baw,Tanjil,5
2012,Baw Baw,Tanjil Bren,3
2012,Baw Baw,Tanjil South,15
2012,Baw Baw,Thorpdale,46
2012,Baw Baw,Trafalgar,222
2012,Baw Baw,Trafalgar East,16
2012,Baw Baw,Trafalgar South,4
2012,Baw Baw,Trida,1
2012,Baw Baw,Vesper,4
2012,Baw Baw,Walhalla,2
2012,Baw Baw,Warragul,1130
2012,Baw Baw,Warragul South,5
2012,Baw Baw,Westbury,7
2012,Baw Baw,Willow Grove,22
2012,Baw Baw,Yarragon,76
2012,Baw Baw,Yarragon South,1
2012,Bayside,Beaumaris,320
2012,Bayside,Black Rock,223
2012,Bayside,Brighton,1128
2012,Bayside,Brighton East,510
2012,Bayside,Cheltenham,149
2012,Bayside,Hampton,544
2012,Bayside,Hampton East,383
2012,Bayside,Highett,372
2012,Bayside,Sandringham,683
2012,Benalla,Baddaginnie,14
2012,Benalla,Benalla,828
2012,Benalla,Boweya,3
2012,Benalla,Broken Creek,1
2012,Benalla,Bungeet,3
2012,Benalla,Bungeet West,1
2012,Benalla,Creek Junction,4
2012,Benalla,Devenish,4
2012,Benalla,Goomalibee,1
2012,Benalla,Goorambat,8
