name,code
Australian Catholic University Ballarat Campus,0
Australian Catholic University Melbourne Campus,1
Charles Darwin University Melbourne Campus,2
CQUniversity Melbourne,3
Deakin University Waurn Ponds Campus,4
Deakin University Geelong Waterfront Campus,5
Deakin University Melbourne Burwood Campus,6
Deakin University Warrnambool Campus,7
Federation University Australia SMB Campus,8
Federation University Australia Mt Helen Campus,9
Federation University Australia Arts Academy,10
Federation University Australia Gippsland Campus,11
Federation University Australia Horsham Campus,12
La Trobe University Albury-Wodonga Campus,13
La Trobe University Bendigo Campus,14
La Trobe University Bundoora Campus,15
La Trobe University City Campus,16
La Trobe University Mildura Campus,17
La Trobe University Shepparton Campus,18
Monash University Caulfield Campus,19
Monash University Clayton Campus,20
Monash University Parkville Campus,21
Monash University Peninsula Campus,22
RMIT University Brunswick Campus,23
RMIT University Bundoora Campus,24
RMIT University Melbourne City Campus,25
Swinburne University of Technology Croydon Campus,26
Swinburne University of Technology Hawthorn Campus,27
Swinburne University of Technology Wantirna,28
Torrens University Australia Flinders Street Campus,29
University of Divinity,30
University of Melbourne Creswick Campus,31
University of Melbourne Dookie Campus,32
University of Melbourne Parkville Campus,33
University of Melbourne Werribee Campus,34
University of Melbourne Burnley Campus,35
University of Melbourne Southbank Campus,36
University of Melbourne Shepparton Campus,37
Victoria University Footscray Park Campus,38
Victoria University City Flinders Campus,39
Victoria University City Flinders Lane Campus,40
Victoria University City King Campus,41
Victoria University City Queen Campus,42
Victoria University Footscray Nicholson Campus,43
Victoria University St Albans Campus,44
Victoria University Sunshine Campus,45
Victoria University Werribee Campus,46
