suburb,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albert Park,266.25,281.25,300.0,295.0,300.0,302.5,317.0,362.5,389.75,417.5,430.0,445.0,460.0,461.5,472.5,492.5,515.0,527.75,562.5,567.5,573.75,498.75
Middle Park,266.25,281.25,300.0,295.0,300.0,302.5,317.0,362.5,389.75,417.5,430.0,445.0,460.0,461.5,472.5,492.5,515.0,527.75,562.5,567.5,573.75,498.75
St Kilda West,266.25,281.25,300.0,295.0,300.0,302.5,317.0,362.5,389.75,417.5,430.0,445.0,460.0,461.5,472.5,492.5,515.0,527.75,562.5,567.5,573.75,498.75
Armadale,203.75,222.5,231.66666666666666,236.0,238.75,243.25,261.25,295.0,331.25,350.25,363.75,382.5,385.0,395.0,393.75,399.5,402.5,445.0,486.25,481.25,498.75,433.75
Carlton North,263.75,276.25,290.0,290.0,298.75,301.25,322.75,345.0,388.75,412.5,440.75,465.0,495.0,492.5,515.0,530.0,525.75,545.0,566.75,579.25,588.75,577.5
Carlton,260.0,263.75,271.6666666666667,281.0,282.5,280.25,275.0,279.5,290.0,318.0,340.0,340.0,340.0,347.0,351.75,365.5,373.25,397.5,417.0,432.25,399.75,335.0
Parkville,260.0,263.75,271.6666666666667,281.0,282.5,280.25,275.0,279.5,290.0,318.0,340.0,340.0,340.0,347.0,351.75,365.5,373.25,397.5,417.0,432.25,399.75,335.0
Melbourne,320.0,320.0,320.0,308.0,300.0,304.0,316.25,350.0,385.0,400.0,415.0,427.5,441.25,443.5,435.0,442.25,452.5,480.0,493.75,505.0,471.25,362.25
Collingwood,235.0,248.75,256.6666666666667,262.0,271.25,276.75,288.75,328.25,367.5,396.25,412.5,431.75,450.0,460.0,438.75,435.0,447.5,458.25,478.75,495.0,482.5,433.75
Abbotsford,235.0,248.75,256.6666666666667,262.0,271.25,276.75,288.75,328.25,367.5,396.25,412.5,431.75,450.0,460.0,438.75,435.0,447.5,458.25,478.75,495.0,482.5,433.75
Docklands,85.0,0.0,336.6666666666667,350.0,368.75,370.0,380.0,425.0,463.75,500.0,502.75,532.5,517.5,502.5,498.75,502.5,525.0,522.5,550.0,576.25,520.0,405.0
