WKT,name,description,uniName
(143.8443462 -37.55795560000001),Australian Catholic University, Ballarat Campus,Australian Catholic University  Ballarat Campus
(144.9780843 -37.8073105),Australian Catholic University, Melbourne Campus,Australian Catholic University  Melbourne Campus
(144.9606243 -37.8130231),Charles Darwin University, Melbourne Campus,Charles Darwin University  Melbourne Campus
(146.9871331 -36.0378511),Charles Sturt University, Albury-Wodonga,Charles Sturt University  Albury-Wodonga
(144.9543479 -37.81817950000001),CQUniversity Melbourne,,CQUniversity Melbourne 
(144.2989393 -38.1980218),Deakin University, Waurn Ponds Campus,Deakin University  Waurn Ponds Campus
(144.3599533 -38.1438793),Deakin University, Geelong Waterfront Campus,Deakin University  Geelong Waterfront Campus
(145.1122556 -37.8445153),Deakin University, Melbourne Burwood Campus,Deakin University  Melbourne Burwood Campus
(142.5384536 -38.39087169999999),Deakin University, Warrnambool Campus,Deakin University  Warrnambool Campus
(143.857426 -37.5654017),Federation University Australia, SMB Campus,Federation University Australia  SMB Campus
(143.8910952 -37.626441),Federation University Australia, Mt Helen Campus,Federation University Australia  Mt Helen Campus
(143.858931 -37.5609507),Federation University Australia, Arts Academy,Federation University Australia  Arts Academy
(146.429409 -38.311211),Federation University Australia, Gippsland Campus,Federation University Australia  Gippsland Campus
(142.1851133 -36.71196339999999),Federation University Australia, Horsham Campus,Federation University Australia  Horsham Campus
(146.8488051 -36.11140340000001),La Trobe University, Albury-Wodonga Campus,La Trobe University  Albury-Wodonga Campus
(144.3012214 -36.7790388),La Trobe University, Bendigo Campus,La Trobe University  Bendigo Campus
(145.0505385 -37.7218527),La Trobe University, Bundoora Campus,La Trobe University  Bundoora Campus
(144.9622694 -37.8164092),La Trobe University, City Campus,La Trobe University  City Campus
(142.1665775 -34.205484),La Trobe University, Mildura Campus,La Trobe University  Mildura Campus
(145.4063541 -36.3805003),La Trobe University, Shepparton Campus,La Trobe University  Shepparton Campus
(145.0450003 -37.8773524),Monash University, Caulfield Campus,Monash University  Caulfield Campus
(145.1317406 -37.9139385),Monash University, Clayton Campus,Monash University  Clayton Campus
(144.9587458 -37.7840053),Monash University, Parkville Campus,Monash University  Parkville Campus
(145.1360385 -38.1526486),Monash University, Peninsula Campus,Monash University  Peninsula Campus
(144.9580867 -37.7720435),RMIT University, Brunswick Campus,RMIT University  Brunswick Campus
(145.0727763 -37.6768877),RMIT University, Bundoora Campus,RMIT University  Bundoora Campus
(144.9639386 -37.80833320000001),RMIT University, Melbourne City Campus,RMIT University  Melbourne City Campus
(145.285759 -37.801686),Swinburne University of Technology, Croydon Campus,Swinburne University of Technology  Croydon Campus
(145.0389546 -37.8221504),Swinburne University of Technology, Hawthorn Campus,Swinburne University of Technology  Hawthorn Campus
(145.2336597 -37.8741595),Swinburne University of Technology, Wantirna,Swinburne University of Technology  Wantirna
(144.9683496 -37.8170206),Torrens University Australia, Flinders Street Campus,Torrens University Australia  Flinders Street Campus
(145.132555 -37.8263223),University of Divinity,,University of Divinity 
(143.9006805 -37.41996),University of Melbourne, Creswick Campus,University of Melbourne  Creswick Campus
(145.7055053 -36.382946),University of Melbourne, Dookie Campus,University of Melbourne  Dookie Campus
(144.960974 -37.79834589999999),University of Melbourne, Parkville Campus,University of Melbourne  Parkville Campus
(144.6933239 -37.8895125),University of Melbourne, Werribee Campus,University of Melbourne  Werribee Campus
(145.0221405 -37.82823559999999),University of Melbourne, Burnley Campus,University of Melbourne  Burnley Campus
(144.9701685 -37.8247391),University of Melbourne, Southbank Campus,University of Melbourne  Southbank Campus
(145.4061609 -36.3621944),University of Melbourne, Shepparton Campus,University of Melbourne  Shepparton Campus
(144.8985171 -37.7937398),Victoria University, Footscray Park Campus,Victoria University  Footscray Park Campus
(144.9640632 -37.8180133),Victoria University, City Flinders Campus,Victoria University  City Flinders Campus
(144.9639995 -37.8175435),Victoria University, City Flinders Lane Campus,Victoria University  City Flinders Lane Campus
(144.9547963 -37.81490979999999),Victoria University, City King Campus,Victoria University  City King Campus
(144.9599144 -37.8124718),Victoria University, City Queen Campus,Victoria University  City Queen Campus
(144.8984888 -37.8045059),Victoria University, Footscray Nicholson Campus,Victoria University  Footscray Nicholson Campus
(144.7979192 -37.7522655),Victoria University, St Albans Campus,Victoria University  St Albans Campus
(144.8352895 -37.7773774),Victoria University, Sunshine Campus,Victoria University  Sunshine Campus
(144.7023342 -37.8944969),Victoria University, Werribee Campus,Victoria University  Werribee Campus
