name,latitude,longitude,Suburb
Australian Catholic University Ballarat Campus,143.8443462,-37.5579556,Lake Wendouree
Australian Catholic University Melbourne Campus,144.9780843,-37.8073105,Fitzroy
Charles Darwin University Melbourne Campus,144.9606243,-37.8130231,Melbourne
CQUniversity Melbourne,144.9543479,-37.8181795,Melbourne
Deakin University Waurn Ponds Campus,144.2989393,-38.1980218,Waurn Ponds
Deakin University Geelong Waterfront Campus,144.3599533,-38.1438793,Geelong
Deakin University Melbourne Burwood Campus,145.1122556,-37.8445153,Burwood
Deakin University Warrnambool Campus,142.5384536,-38.3908717,Warrnambool
Federation University Australia SMB Campus,143.857426,-37.5654017,Ballarat Central
Federation University Australia Mt Helen Campus,143.8910952,-37.626441,Mount Helen
Federation University Australia Arts Academy,143.858931,-37.5609507,Ballarat Central
Federation University Australia Gippsland Campus,146.429409,-38.311211,Churchill
Federation University Australia Horsham Campus,142.1851133,-36.7119634,Horsham
La Trobe University Albury-Wodonga Campus,146.8488051,-36.1114034,West Wodonga
La Trobe University Bendigo Campus,144.3012214,-36.7790388,Flora Hill
La Trobe University Bundoora Campus,145.0505385,-37.7218527,Bundoora
La Trobe University City Campus,144.9622694,-37.8164092,Melbourne
La Trobe University Mildura Campus,142.1665775,-34.205484,Mildura
La Trobe University Shepparton Campus,145.4063541,-36.3805003,Shepparton
Monash University Caulfield Campus,145.0450003,-37.8773524,Caulfield East
Monash University Clayton Campus,145.1317406,-37.9139385,Clayton
Monash University Parkville Campus,144.9587458,-37.7840053,Parkville
Monash University Peninsula Campus,145.1360385,-38.1526486,Frankston
RMIT University Brunswick Campus,144.9580867,-37.7720435,Brunswick
RMIT University Bundoora Campus,145.0727763,-37.6768877,Mill Park
RMIT University Melbourne City Campus,144.9639386,-37.8083332,Melbourne
Swinburne University of Technology Croydon Campus,145.285759,-37.801686,Croydon
Swinburne University of Technology Hawthorn Campus,145.0389546,-37.8221504,Hawthorn
Swinburne University of Technology Wantirna,145.2336597,-37.8741595,Wantirna
Torrens University Australia Flinders Street Campus,144.9683496,-37.8170206,Melbourne
University of Divinity,145.132555,-37.8263223,Box Hill
University of Melbourne Creswick Campus,143.9006805,-37.41996,Creswick
University of Melbourne Dookie Campus,145.7055053,-36.382946,Dookie
University of Melbourne Parkville Campus,144.960974,-37.7983459,Parkville
University of Melbourne Werribee Campus,144.6933239,-37.8895125,Werribee
University of Melbourne Burnley Campus,145.0221405,-37.8282356,Burnley
University of Melbourne Southbank Campus,144.9701685,-37.8247391,Southbank
University of Melbourne Shepparton Campus,145.4061609,-36.3621944,Shepparton
Victoria University Footscray Park Campus,144.8985171,-37.7937398,Footscray
Victoria University City Flinders Campus,144.9640632,-37.8180133,Melbourne
Victoria University City Flinders Lane Campus,144.9639995,-37.8175435,Melbourne
Victoria University City King Campus,144.9547963,-37.8149098,Melbourne
Victoria University City Queen Campus,144.9599144,-37.8124718,Melbourne
Victoria University Footscray Nicholson Campus,144.8984888,-37.8045059,Footscray
Victoria University St Albans Campus,144.7979192,-37.7522655,St Albans
Victoria University Sunshine Campus,144.8352895,-37.7773774,Sunshine North
Victoria University Werribee Campus,144.7023342,-37.8944969,Werribee
