Year,Suburb/Town Name,Offence Count
2012,Abbeyard,3.0
2012,Abbotsford,784.0
2012,Aberfeldie,149.0
2012,Acheron,2.0
2012,Adams Estate,1.0
2012,Addington,2.0
2012,Adelaide Lead,6.0
2012,Aireys Inlet,43.0
2012,Airly,1.0
2012,Airport West,858.0
2012,Albacutya,7.0
2012,Albanvale,312.0
2012,Albert Park,546.0
2012,Alberton,15.0
2012,Alberton West,4.0
2012,Albion,534.0
2012,Alexandra,137.0
2012,Alfredton,322.0
2012,Allambee,2.0
2012,Allambee Reserve,2.0
2012,Allambee South,3.0
2012,Allans Flat,2.0
2012,Allansford,32.0
2012,Allendale,4.0
2012,Allestree,11.0
2012,Alma,2.0
2012,Almurta,1.0
2012,Alphington,255.0
2012,Altona,858.0
2012,Altona Meadows,954.0
2012,Altona North,1209.0
2012,Alvie,3.0
2012,Amherst,1.0
2012,Amor,1.0
2012,Amphitheatre,8.0
2012,Anakie,33.0
2012,Ancona,3.0
2012,Anderson,5.0
2012,Anglesea,144.0
2012,Annuello,1.0
2012,Antwerp,1.0
2012,Apollo Bay,136.0
2012,Apsley,3.0
2012,Ararat,1055.0
2012,Arawata,1.0
2012,Arcadia,9.0
2012,Arcadia South,1.0
2012,Archies Creek,3.0
2012,Ardeer,575.0
2012,Ardmona,19.0
2012,Argyle,4.0
2012,Armadale,499.0
2012,Armstrong,3.0
2012,Armstrong Creek,3.0
2012,Arnold,3.0
2012,Arthurs Creek,11.0
2012,Arthurs Seat,10.0
2012,Ascot,42.0
2012,Ascot Vale,1448.0
2012,Ashbourne,5.0
2012,Ashburton,378.0
2012,Ashwood,258.0
2012,Aspendale,285.0
2012,Aspendale Gardens,156.0
2012,Athlone,3.0
2012,Attwood,104.0
2012,Avalon,23.0
2012,Avenel,48.0
2012,Avoca,50.0
2012,Avondale Heights,384.0
2012,Avonmore,1.0
2012,Avonsleigh,30.0
2012,Axe Creek,2.0
2012,Axedale,11.0
2012,Ayrford,1.0
2012,Bacchus Marsh,766.0
2012,Baddaginnie,17.0
2012,Badger Creek,24.0
2012,Bagshot,5.0
2012,Bagshot North,1.0
2012,Bailieston,2.0
2012,Bairnsdale,1268.0
2012,Bakery Hill,108.0
2012,Balaclava,539.0
2012,Bald Hills,2.0
2012,Balintore,3.0
2012,Ballan,159.0
2012,Ballarat,2927.0
2012,Ballarat East,469.0
2012,Ballarat North,210.0
2012,Ballendella,3.0
2012,Balliang,21.0
2012,Balliang East,11.0
2012,Balmattum,3.0
2012,Balmoral,12.0
2012,Balnarring,60.0
2012,Balnarring Beach,4.0
2012,Balook,2.0
2012,Balwyn,421.0
2012,Balwyn North,525.0
2012,Bamawm,20.0
2012,Bamawm Extension,2.0
2012,Bambra,1.0
2012,Bandiana,8.0
2012,Bangholme,38.0
2012,Bannerton,4.0
2012,Bannockburn,65.0
2012,Baranduda,50.0
2012,Barfold,6.0
2012,Baringhup,9.0
2012,Barjarg,5.0
2012,Barkers Creek,13.0
2012,Barmah,11.0
2012,Barnadown,1.0
2012,Barnawartha,31.0
2012,Barnawartha North,8.0
2012,Baromi,15.0
2012,Barongarook,6.0
2012,Barongarook West,7.0
2012,Barrabool,8.0
2012,Barrakee,2.0
2012,Barramunga,1.0
2012,Barrys Reef,1.0
2012,Barwite,2.0
2012,Barwon Downs,5.0
2012,Barwon Heads,324.0
2012,Basalt,1.0
2012,Bass,46.0
2012,Batesford,13.0
2012,Baw Baw,3.0
2012,Baxter,154.0
2012,Bayindeen,1.0
2012,Bayles,16.0
2012,Baynton,1.0
2012,Bayswater,1128.0
2012,Bayswater North,640.0
2012,Beaconsfield,352.0
2012,Beaconsfield Upper,141.0
2012,Bealiba,30.0
2012,Bearii,5.0
2012,Bears Lagoon,4.0
2012,Beauchamp,1.0
2012,Beaufort,104.0
2012,Beaumaris,320.0
2012,Beazleys Bridge,1.0
2012,Beeac,13.0
2012,Beech Forest,5.0
2012,Beechworth,114.0
2012,Beenak,1.0
2012,Belgrave,310.0
2012,Belgrave Heights,18.0
2012,Belgrave South,55.0
2012,Bell Park,342.0
2012,Bell Post Hill,240.0
2012,Bellarine,10.0
2012,Bellbrae,16.0
2012,Bellbridge,16.0
2012,Bellfield,103.0
2012,Bells Beach,8.0
2012,Belmont,946.0
2012,Bemm River,6.0
2012,Bena,3.0
2012,Benalla,828.0
2012,Benambra,9.0
2012,Bend Of Islands,2.0
2012,Bendigo,2291.0
2012,Bendoc,5.0
2012,Bengworden,2.0
2012,Benjeroop,4.0
2012,Benloch,14.0
2012,Bentleigh,738.0
2012,Bentleigh East,799.0
2012,Benwerrin,1.0
2012,Beremboke,9.0
2012,Berrimal,1.0
2012,Berringa,4.0
2012,Berriwillock,3.0
2012,Berrybank,4.0
2012,Berrys Creek,6.0
