suburb,rental,latitude,longitude,place_restaurant,place_gym,place_bank,stop_ids,transport_stop,transport_train,transport_tram,transport_bus,transport_vline,night_transport,rental_score,transport_score,stop_score,place_restaurant_score,place_gym_score,place_bank_score
Albert Park,495,-37.8438609,144.9514536,20,20,20,"[11178, 2961, 2285, 2278, 11177, 2280, 2561, 31690, 2283, 2562, 11179, 2560, 2279, 2282]",14,0,1,1,0,True,Medium,16,1,5,5,5
Middle Park,495,-37.8509396,144.9615926,20,20,20,"[11185, 2569, 11184, 2563, 2564, 2566, 2964, 2571, 2568, 11186, 2570, 2800, 20178, 11181, 2963, 2567, 11183, 2565, 11182]",19,0,1,1,0,True,Medium,21,1,5,5,5
St Kilda West,495,-37.8582498,144.9698325,20,20,20,"[2573, 2574, 11554, 2572, 11187, 11188, 24672, 2575]",8,0,1,1,0,True,Medium,10,1,5,5,5
Armadale,420,-32.1515645,116.0140386,20,19,20,"[2591, 1008, 2631, 18447, 2633, 2767, 20934, 18503, 20935, 18451, 2588, 2769, 2589, 18499, 13056, 2629, 2770, 2630, 18450, 2590, 3240, 2768, 2628, 18449, 2595, 2634, 18446, 1194, 18423, 2593, 18445]",31,1,1,1,0,True,Medium,34,1,5,4,5
Carlton North,575,-37.782195,144.9731431,20,20,20,"[21401, 30907, 24135, 22933, 2220, 20527, 20508, 11326, 2219, 20517, 24137, 21124, 21399, 20559, 2222, 20549, 2218, 21400, 2946, 2221, 20538, 2944]",22,0,1,1,0,True,High,24,1,5,5,5
Carlton,320,-37.8007555,144.9669992,20,20,20,"[2951, 19562, 21401, 23823, 22930, 28671, 22902, 32475, 30907, 24135, 13310, 24918, 22933, 25512, 20477, 20445, 18792, 2220, 20527, 25580, 20467, 2955, 12832, 20508, 27745, 2212, 10846, 18630, 2216, 23693, 11326, 2217, 2219, 20456, 13281, 29921, 10105, 2214, 20517, 25483, 24329, 24137, 2858, 21124, 21399, 20559, 2222, 20549, 22923, 2218, 20488, 19751, 2211, 17835, 23694, 10845, 21400, 2946, 2221, 20538, 2953, 2944, 23692, 18039, 18259, 10044]",66,0,1,1,0,True,Medium,68,3,5,5,5
Parkville,320,-37.7787036,144.9426083,20,20,20,"[30606, 30614, 10865, 2817, 24623, 2556, 2819, 2814, 2816, 2818, 12097, 10864, 30610, 2697, 30605, 30932, 2820, 2170, 30607, 30611, 30608, 2711, 4490, 30612, 2986, 1169, 30609, 2146, 3097, 30933, 23265, 2245, 2815, 2244]",34,1,1,1,0,True,Medium,37,2,5,5,5
Melbourne,350,-37.8136276,144.9630576,20,20,20,"[2482, 2171, 2140, 2100, 18390, 22794, 2610, 24626, 24626, 18030, 2499, 33305, 2407, 22500, 14163, 2013, 3106, 2720, 2206, 13687, 27747, 3164, 2205, 2721, 18383, 3107, 2606, 18060, 22762, 27304, 27311, 31252, 29659, 2029, 2492, 2095, 2864, 29400, 33300, 3163, 2174, 2861, 18051, 2204, 33517, 22796, 3104, 1068, 18380, 18127, 3111, 1071, 2722, 1071, 27754, 29656, 24580, 24855, 24583, 17816, 29658, 27312, 3121, 22499, 27299, 27302, 22761, 2867, 18058, 18389, 18041, 2050, 2859, 3123, 2608, 18396, 18384, 18049, 33051, 18038, 18388, 29489, 2053, 2405, 18033, 2092, 22758, 30101, 22786, 30385, 30395, 4597, 4597, 3317, 23177, 2219, 1120, 2718, 2208, 18054, 16861, 33048, 20680, 16925, 33366, 2032, 20456, 33050, 12185, 10716, 11466, 10871, 17021, 31119, 27295, 14529, 20818, 13684, 13688, 3132, 2560, 2800, 4426, 4426, 2491, 12097, 13281, 29921, 10864, 10105, 2214, 30610, 2697, 18536, 27303, 4521, 29657, 29706, 22757, 1144, 1144, 27744, 3160, 3161, 22790, 17998, 11424, 22791, 2256, 1155, 3122, 2714, 27314, 21738, 31691, 23879, 3000, 2067, 2865, 28518, 2258, 10878, 18391, 27294, 2209, 22756, 33207, 2711, 2712, 4490, 30612, 2986, 2822, 2071, 2097, 2862, 31312, 2198, 20084, 13683]",180,1,1,1,1,True,Medium,184,5,5,5,5
Collingwood,430,-37.799283,144.9873447,20,20,20,"[15453, 29669, 1043, 32488, 13002, 2471, 25429, 12862, 2066, 2046, 13923, 32483, 25418, 13502, 2475]",15,1,1,1,0,True,Medium,18,1,5,5,5
Abbotsford,430,-37.8021095,145.0019064,20,20,20,"[15430, 3149, 23685, 3158, 18083, 3156, 3154, 2467, 11879, 1043, 2463, 12427, 3155, 12841, 13952, 12415, 2469, 28268, 3153, 11601, 2470, 3157, 11790, 12449, 12438, 24644, 1201]",27,1,1,1,0,True,Medium,30,1,5,5,5
Docklands,400,-37.8190118,144.9465764,20,20,20,"[33401, 33402, 2869, 2703, 2783, 2876, 2479, 2489, 2696, 2490, 2890, 2049, 2870, 2871, 2872, 2874]",16,0,1,1,0,True,Medium,18,1,5,5,5
East Melbourne,450,-37.8103283,144.9834796,20,20,20,"[2485, 2003, 32484, 32489, 32490, 25376, 2823, 2825, 1104, 2481, 3041, 2988, 2487, 32477, 2826, 2477, 18377, 2483, 25387, 25361, 2540, 25365]",22,1,1,1,0,True,Medium,25,1,5,5,5
St Kilda East,380,-37.8668061,145.0027144,20,20,20,"[2348, 22904, 22433, 2349, 22907, 22436, 22905, 22957, 2598, 2459, 22951, 22431, 2733, 19703, 22959, 22434, 2777, 3366, 12651, 22432, 2350, 22906, 22435, 2621, 22438, 22909, 12652, 22908, 22437, 22903, 2346, 22958, 2776, 2601]",34,0,1,1,0,True,Medium,36,2,5,5,5
Elwood,420,-37.8822486,144.9825759,20,20,20,"[12196, 21480, 12182, 12195, 21476, 30819, 3175, 12187, 32498, 12219, 17498, 21483, 12199, 25130, 12189, 12191, 18411, 24161, 21481, 26613, 3171, 12197, 21477, 26173, 17502, 28615, 26614, 23414, 32867, 24156, 12209, 18548, 27622, 18549, 21482, 3174, 25116, 3365, 25085, 12183, 21479, 25127, 13440, 3170]",44,0,1,1,0,True,Medium,46,2,5,5,5
Fitzroy,540,-37.7983606,144.9784894,20,20,20,"[25393, 25672, 31145, 31222, 2887, 2005, 2966, 2544, 2950, 2094, 2539, 20265, 2548, 2942, 11135, 2016, 17341, 2884, 2019, 24142, 2541, 21430, 10847, 15096, 19656, 18729, 2576, 28099, 25490, 14950, 12268, 2948, 2551, 2074, 2937, 2060, 11136, 2550, 2043, 2941, 2535, 25394, 2888, 2546, 2954, 2045, 2070, 2549, 20601, 2167, 2545, 2032, 2939, 2534, 2958, 2064, 16913, 2543, 11134, 17637, 20574, 25391, 18357, 21431, 23021, 2886, 2536, 20580, 2126, 21432, 25671, 21402, 2945, 2952, 20621, 1170, 19820, 2943, 2538, 2033, 2246, 2547, 20591, 21403, 21429, 2113, 29588, 2883, 2484, 25392]",90,1,1,1,0,True,High,93,4,5,5,5
Fitzroy North,540,-37.7832944,144.9838466,20,20,20,"[25393, 25672, 2966, 2950, 2539, 11135, 24142, 2541, 21430, 2948, 2937, 2060, 11136, 2941, 2535, 25394, 20601, 2939, 2534, 2543, 20574, 25391, 18357, 21431, 23021, 2536, 20580, 21432, 25671, 21402, 2945, 20621, 1170, 19820, 2943, 2538, 20591, 21403, 21429, 25392]",40,1,1,1,0,True,High,43,2,5,5,5
Clifton Hill,540,-37.7877787,145.0002125,20,20,20,"[2006, 20632, 2042, 1041, 10285, 10848, 10870, 10868, 10869, 2034, 12460, 12471, 25440, 11137, 10866, 2075, 11139, 10867, 2084]",19,1,1,1,0,True,High,22,1,5,5,5
Flemington,380,-37.7853038,144.9217957,20,20,20,"[14925, 14934, 14945, 20232, 20233, 1069, 2281, 2702, 28586, 1070, 22476, 3138, 3137, 22274, 3139, 3328, 32521, 32520, 2706, 2700, 2700, 2699, 2699, 3311, 3142, 1140, 3135, 22271, 2707, 33207, 2712, 2711, 1177, 3141, 3147, 3145, 2698, 2698, 3144]",39,1,1,1,0,True,Medium,42,2,5,5,5
Kensington,380,-33.910021,151.2232749,20,20,20,"[23806, 23680, 23677, 23811, 23674, 3146, 27621, 27514, 23678, 23810, 27516, 12134, 14967, 14978, 16404, 23807, 19429, 19742, 16419, 27529, 1108, 23679, 27139, 25478, 23675, 3143, 23649, 1179]",28,1,1,1,0,True,Medium,31,1,5,5,5
