uni_name,sub_name,distance (km)
"Australian Catholic University, Ballarat Campus",Abbotsford,105.4243544
"Australian Catholic University, Ballarat Campus",Albert Park,102.4582724
"Australian Catholic University, Ballarat Campus",Alfredton,3.286384468
"Australian Catholic University, Ballarat Campus",Alphington,107.4467377
"Australian Catholic University, Ballarat Campus",Altona,93.25674546
"Australian Catholic University, Ballarat Campus",Armadale,2599.298804
"Australian Catholic University, Ballarat Campus",Ascot Vale,98.35831586
"Australian Catholic University, Ballarat Campus",Ashburton,113.9792768
"Australian Catholic University, Ballarat Campus",Aspendale,121.6042084
"Australian Catholic University, Ballarat Campus",Avondale Heights,92.80673624
"Australian Catholic University, Ballarat Campus",Bairnsdale,331.8051246
"Australian Catholic University, Ballarat Campus",Ballarat,0.699824316
"Australian Catholic University, Ballarat Campus",Balwyn,112.4804661
"Australian Catholic University, Ballarat Campus",Barwon Heads,97.66842614
"Australian Catholic University, Ballarat Campus",Bayswater,2617.066759
"Australian Catholic University, Ballarat Campus",Beaumaris,115.3549174
"Australian Catholic University, Ballarat Campus",Belmont,2614.863653
"Australian Catholic University, Ballarat Campus",Benalla,220.3318273
"Australian Catholic University, Ballarat Campus",Bendigo,96.75215075
"Australian Catholic University, Ballarat Campus",Bentleigh,112.6768924
"Australian Catholic University, Ballarat Campus",Berwick,141.8566037
"Australian Catholic University, Ballarat Campus",Blackburn,118.7775807
"Australian Catholic University, Ballarat Campus",Boronia,131.2365886
"Australian Catholic University, Ballarat Campus",Box Hill,116.2452005
"Australian Catholic University, Ballarat Campus",Brighton,108.3269099
"Australian Catholic University, Ballarat Campus",Brighton East,110.4394651
"Australian Catholic University, Ballarat Campus",Broadmeadows,96.20355245
"Australian Catholic University, Ballarat Campus",Brunswick,101.0988059
"Australian Catholic University, Ballarat Campus",Brunswick East,102.6610408
"Australian Catholic University, Ballarat Campus",Brunswick West,99.41393886
"Australian Catholic University, Ballarat Campus",Bulleen,112.0958664
"Australian Catholic University, Ballarat Campus",Bundoora,108.3339736
"Australian Catholic University, Ballarat Campus",Buninyong,10.84070388
"Australian Catholic University, Ballarat Campus",Burnley,107.1431118
"Australian Catholic University, Ballarat Campus",Burwood,115.8850296
"Australian Catholic University, Ballarat Campus",Burwood East,119.6114504
"Australian Catholic University, Ballarat Campus",Camberwell,111.9210804
"Australian Catholic University, Ballarat Campus",Canterbury,770.7526436
"Australian Catholic University, Ballarat Campus",Carlton,102.4201936
"Australian Catholic University, Ballarat Campus",Carlton North,102.4320234
"Australian Catholic University, Ballarat Campus",Carnegie,112.8399318
"Australian Catholic University, Ballarat Campus",Carrum,126.2591219
"Australian Catholic University, Ballarat Campus",Carrum Downs,131.2810987
"Australian Catholic University, Ballarat Campus",Castlemaine,64.13275694
"Australian Catholic University, Ballarat Campus",Caulfield,110.3412868
"Australian Catholic University, Ballarat Campus",Chadstone,115.7987227
"Australian Catholic University, Ballarat Campus",Chelsea,124.4849906
"Australian Catholic University, Ballarat Campus",Cheltenham,115.906716
"Australian Catholic University, Ballarat Campus",Clayton,119.5987847
"Australian Catholic University, Ballarat Campus",Clifton Hill,104.8902562
"Australian Catholic University, Ballarat Campus",Coburg,100.8845979
"Australian Catholic University, Ballarat Campus",Coburg North,100.3467772
"Australian Catholic University, Ballarat Campus",Collingwood,104.1070399
"Australian Catholic University, Ballarat Campus",Corio,73.04283798
"Australian Catholic University, Ballarat Campus",Craigieburn,94.00061539
"Australian Catholic University, Ballarat Campus",Cranbourne,140.1535048
"Australian Catholic University, Ballarat Campus",Croydon,129.1636163
"Australian Catholic University, Ballarat Campus",Dandenong,129.4013105
"Australian Catholic University, Ballarat Campus",Dandenong North,127.8170794
"Australian Catholic University, Ballarat Campus",Deer Park,85.23308014
"Australian Catholic University, Ballarat Campus",Delacombe,3.877429286
"Australian Catholic University, Ballarat Campus",Docklands,101.2393547
"Australian Catholic University, Ballarat Campus",Doncaster,115.5520458
"Australian Catholic University, Ballarat Campus",Doncaster East,118.7786791
"Australian Catholic University, Ballarat Campus",Donvale,120.4217959
"Australian Catholic University, Ballarat Campus",Dromana,131.5300038
